Timestamp,Source_IP,Dest_IP,Source_Port,Dest_Port,Protocol,Packet_Size,Connection_Duration,Packets_Sent,Bytes_Transferred,Flow_Rate,Device_Role,Function_Code,Attack_Type,Attack_Phase,Label
27-04-2026 8.04,10.0.1.20,10.0.1.11,51657,4840,OPC_UA,108,0.149,3,324,2181.72,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.05,10.0.1.18,10.0.1.14,56517,502,Modbus_TCP,110,0.42,6,660,1570.7,SCADA_Server,5,Normal,none,Normal
27-04-2026 8.05,10.0.1.16,10.0.1.22,47081,44818,EtherNet_IP,225,0.412,7,1575,3824,PLC,0,Normal,none,Normal
27-04-2026 8.05,10.0.1.11,10.0.1.15,56031,44818,EtherNet_IP,143,0.048,5,715,14973.29,HMI,0,Normal,none,Normal
27-04-2026 8.05,10.0.1.11,10.0.1.17,65070,20000,DNP3,185,0.25,4,740,2954.23,HMI,15,Normal,none,Normal
27-04-2026 8.05,10.0.1.13,10.0.1.11,5803,4840,OPC_UA,341,0.492,8,2728,5548.32,RTU,0,Normal,none,Normal
27-04-2026 8.05,10.0.1.26,10.0.1.15,30382,4840,OPC_UA,138,0.304,8,1104,3630.88,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.05,78.26.216.58,10.0.1.24,37082,502,Modbus_TCP,300,0.251,5,1500,5983.96,External,16,False_Data_Injection,recon,Malicious
27-04-2026 8.05,78.26.216.58,10.0.1.19,55428,20000,DNP3,235,0.198,4,940,4749.36,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.05,78.26.216.58,10.0.1.22,26658,502,Modbus_TCP,182,0.023,3,546,23692,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.05,78.26.216.58,10.0.1.13,18773,20000,DNP3,148,0.053,4,592,11133.39,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.05,78.26.216.58,10.0.1.19,35759,20000,DNP3,278,0.3,4,1112,3709.08,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.05,78.26.216.58,10.0.1.25,16939,502,Modbus_TCP,201,0.055,4,804,14487.54,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.21,51377,20000,DNP3,197,0.204,5,985,4826.86,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.15,44670,502,Modbus_TCP,278,0.145,3,834,5751.07,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.22,6678,502,Modbus_TCP,229,0.208,5,1145,5496.3,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.12,60888,20000,DNP3,229,0.144,3,687,4783.89,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.14,47191,502,Modbus_TCP,126,0.13,4,504,3890.73,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.20,13107,20000,DNP3,164,0.156,1,164,1048.3,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.25,49560,502,Modbus_TCP,298,0.065,3,894,13781.19,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.13,2028,20000,DNP3,105,0.158,5,525,3314.44,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.15,4616,502,Modbus_TCP,117,0.159,3,351,2210.61,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.25,2938,502,Modbus_TCP,207,0.183,4,828,4522.57,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.23,62416,20000,DNP3,263,0.112,4,1052,9413.99,External,6,False_Data_Injection,cooldown,Malicious
27-04-2026 8.06,78.26.216.58,10.0.1.19,24306,20000,DNP3,185,0.211,1,185,876.3,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.07,78.26.216.58,10.0.1.25,29637,20000,DNP3,272,0.06,2,544,9071.61,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.07,10.0.1.22,10.0.1.23,25757,1883,MQTT,184,0.124,5,920,7445.66,PLC,0,Normal,none,Normal
27-04-2026 8.07,10.0.1.11,10.0.1.21,11304,4840,OPC_UA,183,0.439,2,366,834.39,HMI,0,Normal,none,Normal
27-04-2026 8.07,10.0.1.24,10.0.1.26,46451,502,Modbus_TCP,88,0.171,1,88,514.63,SCADA_Server,4,Normal,none,Normal
27-04-2026 8.07,10.0.1.16,10.0.1.11,45903,4840,OPC_UA,398,0.422,6,2388,5656.39,PLC,0,Normal,none,Normal
27-04-2026 8.07,10.0.1.18,10.0.1.20,7732,44818,EtherNet_IP,233,0.209,3,699,3337.23,SCADA_Server,0,Normal,none,Normal
27-04-2026 8.07,166.51.148.155,10.0.1.12,31465,20000,DNP3,163,0.224,2,326,1453.23,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.07,166.51.148.155,10.0.1.13,61801,20000,DNP3,87,0.249,3,261,1047.73,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.07,166.51.148.155,10.0.1.16,1033,20000,DNP3,268,0.151,3,804,5340.69,External,16,False_Data_Injection,recon,Malicious
27-04-2026 8.07,166.51.148.155,10.0.1.21,27143,502,Modbus_TCP,180,0.135,5,900,6644.63,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.07,166.51.148.155,10.0.1.17,12542,502,Modbus_TCP,155,0.137,5,775,5669.84,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.07,166.51.148.155,10.0.1.12,23803,20000,DNP3,105,0.299,3,315,1051.97,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.21,11523,502,Modbus_TCP,132,0.085,2,264,3098.43,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.13,14800,20000,DNP3,243,0.113,4,972,8573.07,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.14,19460,20000,DNP3,300,0.04,5,1500,37125.87,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.11,31084,20000,DNP3,101,0.091,2,202,2222.66,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.20,53605,502,Modbus_TCP,193,0.18,2,386,2139.76,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.16,46827,20000,DNP3,246,0.267,3,738,2759.89,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.18,2775,20000,DNP3,113,0.25,4,452,1805.25,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.18,48011,20000,DNP3,99,0.095,1,99,1044.64,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.17,31253,20000,DNP3,193,0.116,2,386,3321.95,External,6,False_Data_Injection,cooldown,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.10,45742,502,Modbus_TCP,117,0.274,4,468,1709.93,External,6,False_Data_Injection,cooldown,Malicious
27-04-2026 8.08,166.51.148.155,10.0.1.12,42920,502,Modbus_TCP,290,0.051,3,870,17020.94,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.08,10.0.1.11,10.0.1.10,34611,4840,OPC_UA,312,0.106,5,1560,14733.26,HMI,0,Normal,none,Normal
27-04-2026 8.09,10.0.1.14,10.0.1.15,63467,20000,DNP3,68,0.062,4,272,4395.22,Engineering_Workstation,15,Normal,none,Normal
27-04-2026 8.09,10.0.1.20,10.0.1.19,2826,1883,MQTT,150,0.316,7,1050,3325.54,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.09,10.0.1.21,10.0.1.26,51906,20000,DNP3,55,0.032,8,440,13952.79,Historian,15,Normal,none,Normal
27-04-2026 8.09,6.200.120.199,10.0.1.26,33592,502,Modbus_TCP,940,0.324,153,143820,444124.19,External,1,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.13,42849,4840,OPC_UA,940,0.918,110,103400,112636.42,External,0,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.22,19288,502,Modbus_TCP,940,1.412,118,110920,78577.93,External,2,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.13,32927,4840,OPC_UA,940,1.924,111,104340,54217.25,External,0,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.24,52624,4840,OPC_UA,940,1.277,92,86480,67722.25,External,0,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.25,27686,4840,OPC_UA,940,1.834,168,157920,86088.96,External,0,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.25,3532,4840,OPC_UA,940,0.791,156,146640,185340.08,External,0,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.13,12241,502,Modbus_TCP,940,0.226,128,120320,531466.7,External,3,DoS,recon,Malicious
27-04-2026 8.09,6.200.120.199,10.0.1.14,56213,4840,OPC_UA,940,1.777,101,94940,53433.84,External,0,DoS,recon,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.12,46041,502,Modbus_TCP,940,0.703,126,118440,168361.35,External,2,DoS,recon,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.22,48802,4840,OPC_UA,1220,1.111,228,278160,250322.96,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.16,44184,4840,OPC_UA,1220,0.71,179,218380,307665.38,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.10,48158,4840,OPC_UA,1220,0.605,247,301340,498100.43,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.15,32462,502,Modbus_TCP,1220,1.695,176,214720,126676.13,External,2,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.15,47442,4840,OPC_UA,1220,0.326,270,329400,1010156.8,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.23,48177,502,Modbus_TCP,1220,1.614,268,326960,202524.36,External,15,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.21,34471,502,Modbus_TCP,1220,1.983,188,229360,115638.92,External,2,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.15,4106,4840,OPC_UA,1220,1.405,195,237900,169380.21,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.12,13076,4840,OPC_UA,1220,0.855,258,314760,368163,External,0,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.11,38543,502,Modbus_TCP,1220,0.812,171,208620,257072.36,External,16,DoS,escalation,Malicious
27-04-2026 8.10,6.200.120.199,10.0.1.12,35382,4840,OPC_UA,1220,0.72,179,218380,303307,External,0,DoS,escalation,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.26,19098,502,Modbus_TCP,1220,1.619,263,320860,198202.14,External,16,DoS,escalation,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.19,8703,502,Modbus_TCP,1220,0.956,178,217160,227097.84,External,4,DoS,escalation,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.19,61679,502,Modbus_TCP,1500,1.257,300,450000,358060.41,External,16,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.12,57318,502,Modbus_TCP,1500,1.314,309,463500,352645.73,External,2,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.10,3645,4840,OPC_UA,1500,1.394,344,516000,370253.08,External,0,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.23,36472,4840,OPC_UA,1500,1.009,290,435000,431205.69,External,0,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.15,40095,502,Modbus_TCP,1500,1.603,322,483000,301251.82,External,5,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.15,47433,502,Modbus_TCP,1500,0.101,254,381000,3780650.93,External,15,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.14,12975,502,Modbus_TCP,1500,1.887,279,418500,221766.83,External,16,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.11,9900,4840,OPC_UA,1500,1.332,321,481500,361532.8,External,0,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.25,64163,502,Modbus_TCP,1500,1.435,310,465000,324062.23,External,5,DoS,peak,Malicious
27-04-2026 8.11,6.200.120.199,10.0.1.10,44538,502,Modbus_TCP,1500,0.717,313,469500,654800.21,External,5,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.14,63485,502,Modbus_TCP,1500,0.279,314,471000,1688589.09,External,15,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.19,28721,4840,OPC_UA,1500,0.983,280,420000,427371.03,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.11,12373,4840,OPC_UA,1500,0.927,270,405000,436883.25,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.24,52331,502,Modbus_TCP,1500,0.13,319,478500,3686405.92,External,16,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.24,63034,4840,OPC_UA,1500,0.68,304,456000,670810.78,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.15,58056,502,Modbus_TCP,1500,1.354,265,397500,293649.46,External,2,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.18,3069,4840,OPC_UA,1500,1.569,330,495000,315465.15,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.11,51378,4840,OPC_UA,1500,0.286,282,423000,1479038.59,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.25,48436,4840,OPC_UA,1500,0.174,342,513000,2940491.27,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.11,49057,502,Modbus_TCP,1500,1.703,306,459000,269545.74,External,2,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.19,7243,4840,OPC_UA,1500,0.817,320,480000,587810.8,External,0,DoS,peak,Malicious
27-04-2026 8.12,6.200.120.199,10.0.1.13,57594,502,Modbus_TCP,1500,0.396,346,519000,1309427.69,External,15,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.11,37108,4840,OPC_UA,1500,0.264,288,432000,1637064.99,External,0,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.15,46614,502,Modbus_TCP,1500,0.7,298,447000,638245.24,External,2,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.15,37075,502,Modbus_TCP,1500,0.997,330,495000,496722.87,External,1,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.14,59217,502,Modbus_TCP,1500,0.402,311,466500,1160979.41,External,5,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.15,21984,502,Modbus_TCP,1500,1.101,334,501000,455020.63,External,16,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.13,26617,4840,OPC_UA,1500,1.169,278,417000,356580.75,External,0,DoS,peak,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.14,12101,502,Modbus_TCP,1080,0.212,193,208440,983519.97,External,16,DoS,cooldown,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.24,63790,502,Modbus_TCP,1080,0.102,169,182520,1781529.92,External,3,DoS,cooldown,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.10,62485,502,Modbus_TCP,1080,1.258,181,195480,155439,External,16,DoS,cooldown,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.23,46867,4840,OPC_UA,1080,0.244,134,144720,592650.55,External,0,DoS,cooldown,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.18,8705,502,Modbus_TCP,1080,1.456,222,239760,164677.61,External,16,DoS,cooldown,Malicious
27-04-2026 8.13,6.200.120.199,10.0.1.26,17339,4840,OPC_UA,1080,0.476,163,176040,370198.93,External,0,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.11,33221,502,Modbus_TCP,1080,1.999,161,173880,86962.85,External,2,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.19,11500,502,Modbus_TCP,1080,0.29,188,203040,699856.63,External,5,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.24,38464,502,Modbus_TCP,1080,1.895,161,173880,91765.15,External,4,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.18,33240,502,Modbus_TCP,1080,1.232,145,156600,127116.87,External,15,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.10,2494,502,Modbus_TCP,1080,1.534,199,214920,140136.39,External,4,DoS,cooldown,Malicious
27-04-2026 8.14,6.200.120.199,10.0.1.12,39941,4840,OPC_UA,1080,1.948,200,216000,110910.98,External,0,DoS,cooldown,Malicious
27-04-2026 8.14,10.0.1.26,10.0.1.23,64513,20000,DNP3,99,0.398,6,594,1493.33,Engineering_Workstation,3,Normal,none,Normal
27-04-2026 8.14,34.130.235.109,10.0.1.22,15204,20000,DNP3,195,0.072,5,975,13510.13,External,16,False_Data_Injection,recon,Malicious
27-04-2026 8.14,34.130.235.109,10.0.1.22,19588,20000,DNP3,220,0.161,2,440,2740.84,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.14,34.130.235.109,10.0.1.14,28672,20000,DNP3,153,0.272,4,612,2245.89,External,16,False_Data_Injection,recon,Malicious
27-04-2026 8.14,34.130.235.109,10.0.1.11,61765,502,Modbus_TCP,133,0.112,3,399,3570.8,External,6,False_Data_Injection,recon,Malicious
27-04-2026 8.14,34.130.235.109,10.0.1.11,21914,502,Modbus_TCP,220,0.209,2,440,2105.34,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.23,23441,20000,DNP3,119,0.035,2,238,6791.24,External,6,False_Data_Injection,escalation,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.15,11608,502,Modbus_TCP,152,0.26,2,304,1169.63,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.21,45750,20000,DNP3,203,0.061,1,203,3320.36,External,16,False_Data_Injection,escalation,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.22,43978,20000,DNP3,286,0.036,5,1430,39328.5,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.26,27643,502,Modbus_TCP,198,0.127,5,990,7795.82,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.19,9362,502,Modbus_TCP,183,0.17,4,732,4298.15,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.16,6959,20000,DNP3,95,0.138,2,190,1378.48,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.23,17460,20000,DNP3,90,0.169,2,180,1065.09,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.22,10545,502,Modbus_TCP,218,0.126,2,436,3453.56,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.11,23822,20000,DNP3,96,0.214,4,384,1790.97,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.12,52277,502,Modbus_TCP,107,0.192,1,107,557.94,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.15,34.130.235.109,10.0.1.20,57855,502,Modbus_TCP,167,0.293,4,668,2281.56,External,16,False_Data_Injection,peak,Malicious
27-04-2026 8.16,34.130.235.109,10.0.1.17,21056,502,Modbus_TCP,246,0.093,5,1230,13160.91,External,6,False_Data_Injection,peak,Malicious
27-04-2026 8.16,34.130.235.109,10.0.1.17,17061,502,Modbus_TCP,230,0.041,5,1150,28390.83,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.16,34.130.235.109,10.0.1.21,16949,20000,DNP3,233,0.056,5,1165,20660.47,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.16,34.130.235.109,10.0.1.10,6177,502,Modbus_TCP,89,0.137,2,178,1295.4,External,16,False_Data_Injection,cooldown,Malicious
27-04-2026 8.16,34.130.235.109,10.0.1.10,61518,502,Modbus_TCP,256,0.193,1,256,1324.38,External,6,False_Data_Injection,cooldown,Malicious
27-04-2026 8.16,10.0.1.14,10.0.1.11,14728,4840,OPC_UA,250,0.472,5,1250,2650.33,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.16,10.0.1.15,10.0.1.24,13277,44818,EtherNet_IP,269,0.464,5,1345,2896.97,Historian,0,Normal,none,Normal
27-04-2026 8.16,10.0.1.20,10.0.1.13,43211,1883,MQTT,176,0.372,2,352,946.64,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.16,10.0.1.23,10.0.1.13,51319,502,Modbus_TCP,72,0.238,2,144,604.49,HMI,15,Normal,none,Normal
27-04-2026 8.16,10.0.1.25,10.0.1.22,48827,4840,OPC_UA,335,0.463,3,1005,2168.67,RTU,0,Normal,none,Normal
27-04-2026 8.16,10.0.1.18,10.0.1.19,1680,20000,DNP3,199,0.431,7,1393,3231.19,SCADA_Server,6,Normal,none,Normal
27-04-2026 8.16,10.0.1.20,10.0.1.19,30216,44818,EtherNet_IP,83,0.304,7,581,1911.6,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.17,10.0.1.14,10.0.1.18,17148,4840,OPC_UA,363,0.396,5,1815,4581.56,Engineering_Workstation,0,Normal,none,Normal
27-04-2026 8.17,10.0.1.22,10.0.1.14,21865,4840,OPC_UA,186,0.135,1,186,1381.44,PLC,0,Normal,none,Normal
27-04-2026 8.17,10.0.1.14,10.0.1.18,19339,502,Modbus_TCP,64,0.243,2,128,526.35,Engineering_Workstation,6,Normal,none,Normal
27-04-2026 8.17,10.0.1.23,10.0.1.24,58443,20000,DNP3,162,0.295,8,1296,4390.17,HMI,16,Normal,none,Normal
27-04-2026 8.17,152.148.35.99,10.0.1.24,27056,20000,DNP3,217,0.716,17,3689,5150.85,External,1,MitM,recon,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.21,56415,4840,OPC_UA,234,0.687,8,1872,2725.21,External,0,MitM,recon,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.17,9755,20000,DNP3,273,0.132,10,2730,20693.59,External,5,MitM,recon,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.18,38399,44818,EtherNet_IP,422,0.889,11,4642,5223.61,External,0,MitM,escalation,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.16,11589,4840,OPC_UA,121,0.457,6,726,1590.27,External,0,MitM,escalation,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.11,27591,1883,MQTT,163,0.419,12,1956,4669.36,External,0,MitM,escalation,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.12,50347,1883,MQTT,413,0.539,20,8260,15311.08,External,0,MitM,peak,Malicious
27-04-2026 8.17,152.148.35.99,10.0.1.22,48569,44818,EtherNet_IP,133,0.898,2,266,296.22,External,0,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.20,36981,4840,OPC_UA,284,0.212,17,4828,22738.42,External,0,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.18,54886,20000,DNP3,371,0.771,11,4081,5295.26,External,15,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.12,10752,47808,BACnet,357,0.631,16,5712,9048.59,External,0,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.20,57066,4840,OPC_UA,101,0.543,10,1010,1859.54,External,0,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.13,43395,1883,MQTT,379,0.355,10,3790,10679.65,External,0,MitM,peak,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.19,21648,502,Modbus_TCP,490,0.511,12,5880,11517.12,External,5,MitM,cooldown,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.19,8224,1883,MQTT,365,0.552,15,5475,9924.31,External,0,MitM,cooldown,Malicious
27-04-2026 8.18,152.148.35.99,10.0.1.13,45485,1883,MQTT,439,0.798,11,4829,6050.24,External,0,MitM,cooldown,Malicious
27-04-2026 8.18,10.0.1.10,10.0.1.23,3062,20000,DNP3,144,0.064,3,432,6774.85,PLC,6,Normal,none,Normal
27-04-2026 8.18,10.0.1.21,10.0.1.23,63831,4840,OPC_UA,143,0.495,7,1001,2021.91,Historian,0,Normal,none,Normal
27-04-2026 8.18,10.0.1.10,10.0.1.19,34142,4840,OPC_UA,358,0.249,4,1432,5744.13,PLC,0,Normal,none,Normal
27-04-2026 8.18,10.0.1.12,10.0.1.23,55612,20000,DNP3,68,0.49,7,476,971.72,SCADA_Server,6,Normal,none,Normal
27-04-2026 8.19,99.222.70.214,10.0.1.23,44505,4840,OPC_UA,412,0.413,5,2060,4992.47,External,0,MitM,recon,Malicious
27-04-2026 8.19,99.222.70.214,10.0.1.25,64195,4840,OPC_UA,426,0.94,16,6816,7250.69,External,0,MitM,recon,Malicious
